ID,name,handedness,height,weight,avg,HR
649,Jerry Royster,Right,72,165,0.249,40
652,Barry Bonnell,Right,75,190,0.272,56
653,Tom Seaver,Right,73,195,0.154,12
654,Jerry Martin,Right,73,195,0.251,85
655,Bill Stein,Right,70,170,0.267,44
656,Joel Youngblood,Right,72,180,0.265,80
657,Reggie Jackson,Left,72,195,0.262,563
658,Sonny Jackson,Left,69,150,0.251,7
660,Rodney Scott,Both,72,160,0.236,3
661,Rich Coggins,Left,68,170,0.265,12
662,Phil Gagliano,Right,73,180,0.238,14
663,Jerry McNertney,Right,72,180,0.237,27
664,Mitchell Page,Left,74,205,0.266,72
665,Kiko Garcia,Right,71,180,0.239,12
666,Larry Milbourne,Both,72,161,0.254,11
667,Bill Sudakis,Both,73,190,0.234,59
669,Domingo Ramos,Right,70,154,0.24,8
670,Ron Oester,Both,74,185,0.265,42
671,Glenn Adams,Left,73,180,0.28,34
673,Joe Morgan,Left,67,160,0.271,268
674,R.J. Reynolds,Both,72,190,0.267,35
676,Lee Thomas,Left,74,195,0.255,106
677,Ray Fosse,Right,74,215,0.256,61
678,Paul Popovich,Both,72,175,0.233,14
679,John Stephenson,Left,71,180,0.216,12
680,Doug Clemens,Left,72,180,0.229,12
682,Orlando Mercado,Right,72,180,0.199,7
683,Charley Smith,Right,73,170,0.239,69
685,Buddy Biancalana,Both,71,160,0.205,6
687,Bob Uecker,Right,73,190,0.2,14
688,Felix Torres,Right,71,165,0.254,27
689,Steve Braun,Left,70,180,0.271,52
690,Ray Knight,Right,73,185,0.271,84
691,Ty Cline,Left,72,170,0.238,6
692,Thad Bosley,Left,75,175,0.272,20
693,Bobby Grich,Right,74,180,0.266,224
694,Jimmie Hall,Left,72,175,0.254,121
695,John Boccabella,Right,73,195,0.219,26
696,Brock Davis,Left,70,160,0.26,1
698,Curt Blefary,Left,74,195,0.237,112
701,Mack Jones,Left,73,180,0.252,133
702,Buddy Bradford,Right,71,170,0.226,52
703,Hosken Powell,Left,73,175,0.259,17
705,Dave Stapleton,Right,73,178,0.271,41
